cat,example,norad,config,precision,recall,f1,n_miss,n_false,n_det
fail,1,64467,optim,0.06451612903225806,1.0,0.12121212121212122,0,29,2
fail,1,64467,avg,0.015873015873015872,0.5,0.03076923076923077,1,62,1
fail,1,64467,cluster,0.015873015873015872,0.5,0.03076923076923077,1,62,1
fail,2,64575,optim,0.42857142857142855,0.5,0.4615384615384615,3,4,3
fail,2,64575,avg,0.0,0.0,0.0,6,0,0
fail,2,64575,cluster,0.0,0.0,0.0,6,0,0
mid,1,28885,optim,0.68,0.85,0.7555555555555556,3,8,17
mid,1,28885,avg,0.6666666666666666,0.1,0.1739130434782609,18,1,2
mid,1,28885,cluster,0.6666666666666666,0.1,0.1739130434782609,18,1,2
mid,2,62904,optim,0.20754716981132076,0.6470588235294118,0.3142857142857143,6,42,11
mid,2,62904,avg,0.0,0.0,0.0,17,0,0
mid,2,62904,cluster,0.3333333333333333,0.058823529411764705,0.1,16,2,1
good,1,64784,optim,0.7777777777777778,0.8235294117647058,0.7999999999999999,6,8,28
good,1,64784,avg,0.0,0.0,0.0,34,0,0
good,1,64784,cluster,0.0,0.0,0.0,34,0,0
good,2,65317,optim,0.8076923076923077,0.875,0.8400000000000001,3,5,21
good,2,65317,avg,0.0,0.0,0.0,24,2,0
good,2,65317,cluster,0.0,0.0,0.0,24,2,0
good,3,63920,optim,0.7692307692307693,0.9090909090909091,0.8333333333333333,1,3,10
good,3,63920,avg,0.0,0.0,0.0,11,0,0
good,3,63920,cluster,0.0,0.0,0.0,11,0,0
good,4,39375,optim,0.803921568627451,0.9318181818181818,0.8631578947368421,3,10,41
good,4,39375,avg,0.5,0.022727272727272728,0.04347826086956522,43,1,1
good,4,39375,cluster,0.7272727272727273,0.18181818181818182,0.2909090909090909,36,3,8
good,5,49330,optim,1.0,0.8,0.888888888888889,3,0,12
good,5,49330,avg,1.0,0.4,0.5714285714285715,9,0,6
good,5,49330,cluster,0.7333333333333333,0.7333333333333333,0.7333333333333333,4,4,11
perfect,1,64723,optim,0.6363636363636364,0.7,0.6666666666666666,3,4,7
perfect,1,64723,avg,0.2,0.1,0.13333333333333333,9,4,1
perfect,1,64723,cluster,0.2,0.1,0.13333333333333333,9,4,1
perfect,2,65852,optim,1.0,1.0,1.0,0,0,8
perfect,2,65852,avg,0.0,0.0,0.0,8,0,0
perfect,2,65852,cluster,0.8,0.5,0.6153846153846154,4,1,4
