norad,config,f1,precision,recall
28885,optim,0.7391304347826088,0.6538461538461539,0.85
28885,avg,0.16000000000000003,0.4,0.1
28885,cluster,0.16000000000000003,0.4,0.1
39375,optim,0.8723404255319149,0.82,0.9318181818181818
39375,avg,0.163265306122449,0.8,0.09090909090909091
39375,cluster,0.6753246753246752,0.7878787878787878,0.5909090909090909
40258,optim,0.35294117647058826,0.21428571428571427,1.0
40258,avg,0.0,0.0,0.0
40258,cluster,0.14285714285714288,0.09090909090909091,0.3333333333333333
48274,optim,0.8571428571428572,0.8181818181818182,0.9
48274,avg,0.6666666666666666,1.0,0.5
48274,cluster,0.6666666666666666,1.0,0.5
49330,optim,0.8275862068965518,0.8571428571428571,0.8
49330,avg,0.7499999999999999,1.0,0.6
49330,cluster,0.7499999999999999,1.0,0.6
50321,optim,0.3333333333333333,0.25,0.5
50321,avg,0.0,0.0,0.0
50321,cluster,0.25,0.16666666666666666,0.5
50322,optim,0.5333333333333333,0.4,0.8
50322,avg,0.22222222222222224,0.25,0.2
50322,cluster,0.4,0.3,0.6
55131,optim,0.28571428571428575,0.25,0.3333333333333333
55131,avg,0.30769230769230765,0.2857142857142857,0.3333333333333333
55131,cluster,0.30769230769230765,0.2857142857142857,0.3333333333333333
58148,optim,0.6666666666666666,0.625,0.7142857142857143
58148,avg,0.0,0.0,0.0
58148,cluster,0.0,0.0,0.0
58435,optim,0.0,0.0,0.0
58435,avg,0.0,0.0,0.0
58435,cluster,0.0,0.0,0.0
58992,optim,0.6666666666666667,0.5882352941176471,0.7692307692307693
58992,avg,0.0,0.0,0.0
58992,cluster,0.3703703703703704,0.35714285714285715,0.38461538461538464
59773,optim,0.2,0.11764705882352941,0.6666666666666666
59773,avg,0.0,0.0,0.0
59773,cluster,0.1739130434782609,0.1,0.6666666666666666
61730,optim,0.0,0.0,0.0
61730,avg,0.0,0.0,0.0
61730,cluster,0.0,0.0,0.0
62216,optim,0.5,0.5,0.5
62216,avg,0.0,0.0,0.0
62216,cluster,0.0,0.0,0.0
62485,optim,0.45,0.391304347826087,0.5294117647058824
62485,avg,0.4347826086956522,0.8333333333333334,0.29411764705882354
62485,cluster,0.46153846153846156,0.4090909090909091,0.5294117647058824
62852,optim,0.3333333333333333,0.25,0.5
62852,avg,0.18181818181818182,0.14285714285714285,0.25
62852,cluster,0.18181818181818182,0.14285714285714285,0.25
62903,optim,0.5,0.3333333333333333,1.0
62903,avg,0.0,0.0,0.0
62903,cluster,0.3333333333333333,0.2857142857142857,0.4
62904,optim,0.29411764705882354,0.19607843137254902,0.5882352941176471
62904,avg,0.0,0.0,0.0
62904,cluster,0.15384615384615383,0.2222222222222222,0.11764705882352941
63600,optim,1.0,1.0,1.0
63600,avg,0.0,0.0,0.0
63600,cluster,0.0,0.0,0.0
63601,optim,0.5,0.5,0.5
63601,avg,0.0,0.0,0.0
63601,cluster,0.0,0.0,0.0
63603,optim,0.5,0.5,0.5
63603,avg,0.0,0.0,0.0
63603,cluster,0.0,0.0,0.0
63604,optim,1.0,1.0,1.0
63604,avg,0.0,0.0,0.0
63604,cluster,0.0,0.0,0.0
63630,optim,0.9565217391304348,1.0,0.9166666666666666
63630,avg,0.0,0.0,0.0
63630,cluster,0.7826086956521738,0.8181818181818182,0.75
63919,optim,0.5,0.42857142857142855,0.6
63919,avg,0.0,0.0,0.0
63919,cluster,0.0,0.0,0.0
63920,optim,0.8695652173913043,0.8333333333333334,0.9090909090909091
63920,avg,0.0,0.0,0.0
63920,cluster,0.0,0.0,0.0
64095,optim,0.8571428571428571,0.75,1.0
64095,avg,0.0,0.0,0.0
64095,cluster,0.8571428571428571,0.75,1.0
64231,optim,0.6666666666666665,0.6,0.75
64231,avg,0.0,0.0,0.0
64231,cluster,0.0,0.0,0.0
64467,optim,0.04545454545454545,0.023809523809523808,0.5
64467,avg,0.030303030303030304,0.015625,0.5
64467,cluster,0.030303030303030304,0.015625,0.5
64470,optim,0.6153846153846153,0.5263157894736842,0.7407407407407407
64470,avg,0.07142857142857142,1.0,0.037037037037037035
64470,cluster,0.5490196078431373,0.5833333333333334,0.5185185185185185
64527,optim,0.6,0.42857142857142855,1.0
64527,avg,0.5,0.3333333333333333,1.0
64527,cluster,0.4,0.2857142857142857,0.6666666666666666
64575,optim,0.30769230769230765,0.2,0.6666666666666666
64575,avg,0.0,0.0,0.0
64575,cluster,0.0,0.0,0.0
64691,optim,1.0,1.0,1.0
64691,avg,0.0,0.0,0.0
64691,cluster,1.0,1.0,1.0
64694,optim,0.4666666666666667,0.4444444444444444,0.49122807017543857
64694,avg,0.0,0.0,0.0
64694,cluster,0.66,0.7674418604651163,0.5789473684210527
64723,optim,0.6666666666666666,0.6363636363636364,0.7
64723,avg,0.14285714285714288,0.25,0.1
64723,cluster,0.14285714285714288,0.25,0.1
64784,optim,0.7887323943661971,0.7567567567567568,0.8235294117647058
64784,avg,0.0,0.0,0.0
64784,cluster,0.39999999999999997,0.8181818181818182,0.2647058823529412
64876,optim,1.0,1.0,1.0
64876,avg,0.0,0.0,0.0
64876,cluster,0.0,0.0,0.0
64877,optim,1.0,1.0,1.0
64877,avg,0.0,0.0,0.0
64877,cluster,0.0,0.0,0.0
64898,optim,1.0,1.0,1.0
64898,avg,0.0,0.0,0.0
64898,cluster,0.6666666666666666,0.5,1.0
65053,optim,0.8,1.0,0.6666666666666666
65053,avg,0.5714285714285715,0.5,0.6666666666666666
65053,cluster,0.5714285714285715,0.5,0.6666666666666666
65317,optim,0.6909090909090909,0.6129032258064516,0.7916666666666666
65317,avg,0.0,0.0,0.0
65317,cluster,0.0,0.0,0.0
65486,optim,0.2,0.16666666666666666,0.25
65486,avg,0.4,0.3333333333333333,0.5
65486,cluster,0.18181818181818182,0.14285714285714285,0.25
65563,optim,0.1818181818181818,0.1111111111111111,0.5
65563,avg,0.0,0.0,0.0
65563,cluster,0.0,0.0,0.0
65851,optim,1.0,1.0,1.0
65851,avg,0.0,0.0,0.0
65851,cluster,0.7692307692307692,0.8333333333333334,0.7142857142857143
65852,optim,1.0,1.0,1.0
65852,avg,0.0,0.0,0.0
65852,cluster,0.6153846153846154,0.8,0.5
