norad,order,var_Q,r,p0,f1,precision,recall,n_det,n_false,n_miss,metrique,sigma,beta,cluster
28885,1,2.1429879051262235,0.0002294553888321,39542.77346596974,0.6451612903225806,0.4761904761904761,1.0,20,22,0,sma,2.0,0.1,-1
39375,1,0.0015042402196553,0.0118525979088379,2.777805353788531,0.967032967032967,0.9361702127659576,1.0,44,3,0,sma,2.0,0.1,1
40258,1,0.0014090482969228,2.617488485977237e-05,17.372006497891057,0.2857142857142857,0.1666666666666666,1.0,3,15,0,sma,2.0,0.1,1
41384,1,0.0019114492463949,0.4999999999999994,453.96209855034704,0.0,0.0,0.0,0,37,25,sma,2.0,0.1,1
48274,1,0.1835356192329922,0.0011798567250826,363.3824560180323,0.8333333333333333,0.7142857142857143,1.0,10,4,0,sma,2.0,0.1,1
49330,1,9.747120624442235,0.0068502884257005,225.8127183005903,0.967741935483871,0.9375,1.0,15,1,0,sma,2.0,0.1,-1
50321,1,0.6478867903212049,0.0194177101412437,131.20956447371034,0.6666666666666666,0.5,1.0,2,2,0,sma,2.0,0.1,0
50322,1,0.0031661368655972,0.1516796303709789,314.3179879996293,0.7142857142857143,0.5555555555555556,1.0,5,4,0,sma,2.0,0.1,1
55131,1,0.4137856100227138,0.0108399907018631,14271.133673535944,0.8571428571428571,0.75,1.0,6,2,0,sma,2.0,0.1,-1
58148,1,2.0030800750041333e-06,2.86505925547166e-08,8208.479036545323,0.7999999999999999,0.75,0.8571428571428571,12,4,2,sma,2.0,0.1,-1
58435,1,0.0019114492463949,0.4999999999999994,453.96209855034704,0.0,0.0,0.0,0,0,1,sma,2.0,0.1,1
58992,2,0.0109873514037619,0.1447801332385301,466.6720217294183,0.8387096774193548,0.7222222222222222,1.0,13,5,0,sma,2.0,0.1,1
59773,1,0.0388936358916316,0.0167812226722691,303.9028065922816,0.2307692307692307,0.1304347826086956,1.0,3,20,0,sma,2.0,0.1,1
61730,2,3.306550329398476,0.0007382328298988,1.8619866915726893,0.5714285714285715,0.5,0.6666666666666666,2,2,1,sma,2.0,0.1,-1
62216,1,6.164190202262754e-07,8.975870043878383e-06,67172.92092846721,0.8,1.0,0.6666666666666666,2,0,1,sma,2.0,0.1,-1
62485,1,0.0011187130813643,0.4734583311242188,59307.55009281413,0.8333333333333333,0.7894736842105263,0.8823529411764706,15,4,2,sma,2.0,0.1,-1
62852,1,0.0797830824854278,29.697509759541912,7.461303963929012,0.3333333333333333,0.2142857142857142,0.75,3,11,1,sma,2.0,0.1,-1
62903,1,0.0024406688406422,6.598206140855677e-05,184.5254220316169,0.5555555555555556,0.3846153846153846,1.0,5,8,0,sma,2.0,0.1,1
