norad,order,var_Q,r,p0,f1,precision,recall,n_det,n_false,n_miss,metrique,sigma,beta
28885,1,1.6248818004459284,0.0004301328608938,27.64568757798797,0.9090909090909092,0.8333333333333334,1.0,20,4,0,sma,2.0,0.1
39375,1,0.0017548735568507,0.0104578424525541,154.97052329359997,0.9555555555555556,0.9347826086956522,0.9772727272727272,43,3,1,sma,2.0,0.1
40258,1,0.0014034997263513,2.607208625922133e-05,4147.228007816608,0.375,0.2307692307692307,1.0,3,10,0,sma,2.0,0.1
41384,1,0.0019114492463949,0.4999999999999994,453.96209855034704,0.0,0.0,0.0,0,10,25,sma,2.0,0.1
48274,1,0.1665379679156224,0.402026358563022,6.140177521170047,0.8235294117647058,1.0,0.7,7,0,3,sma,2.0,0.1
49330,1,0.2297652498205894,0.7950316718244762,5.514784294683891,0.888888888888889,1.0,0.8,12,0,3,sma,2.0,0.1
50321,1,0.1607344727501428,0.068145539031959,34530.96881666163,0.3333333333333333,0.25,0.5,1,3,1,sma,2.0,0.1
50322,1,0.2881700834452657,0.0101363491654876,17.493913756239188,0.8000000000000002,0.8,0.8,4,1,1,sma,2.0,0.1
55131,1,1.2214632983830034,0.221516792619365,85.89348394706107,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,sma,2.0,0.1
58148,1,5.112211759149002e-05,2.2441311063989865e-07,74.70587841874058,0.782608695652174,1.0,0.6428571428571429,9,0,5,sma,2.0,0.1
58435,1,0.0019114492463949,0.4999999999999994,453.96209855034704,0.0,0.0,0.0,0,0,1,sma,2.0,0.1
58992,2,0.0377516726158065,0.2045099766158122,239.881236376928,0.888888888888889,0.8571428571428571,0.9230769230769232,12,2,1,sma,2.0,0.1
59773,1,0.0568671517284755,0.1428031729225177,968.9408651005656,0.3636363636363636,0.25,0.6666666666666666,2,6,1,sma,2.0,0.1
61730,1,0.4005919600655083,2.776959347975706,19205.99502164385,0.5,1.0,0.3333333333333333,1,0,2,sma,2.0,0.1
